job_id,company,company_rating,location,company_size,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating,scrapped_date,salary_avg_estimate_yr,job_state,desc_len,simple_job_title,generated_skills,simple_skills,num_keywords
1009122460621,Simmons Prepared Foods Inc,3.7,"Siloam Springs, AR",1001 to 5000 Employees,Company - Private,Food & Beverage Manufacturing,Manufacturing,$1 to $5 billion (USD),3.5,3.9,3.4,3.2,3.1,2024-02-16,86696.0,AR,6642,Senior Data Analyst,"['{""key_words"": [""data analysis"", ""data generation"", ""data management"", ""data models"", ""data quality"", ""data science"", ""data visualization"", ""ERP"", ""BI tools"", ""OAC"", ""SCRUM"", ""Agile""]}']","{""key_words"": [""data analysis"", ""data generation"", ""data management"", ""data models"", ""data quality"", ""data science"", ""data visualization"", ""ERP"", ""BI tools"", ""OAC"", ""SCRUM"", ""Agile""]}",12
1008923382443,US Tool Group,3.7,"Farmington, MO",Unknown,Company - Private,Taxi & Car Services,Transportation & Logistics,Unknown / Non-Applicable,3.0,3.3,3.7,3.6,3.9,2024-02-16,96684.0,MO,4277,Data Analyst,"['{""key_words"": [""problem-solving skills"", ""communication skills"", ""organizational skills"", ""positive attitude"", ""customer service skills"", ""experience with operating systems"", ""data classification and security practices"", ""Advanced SQL query development"", ""SSMA"", ""stored procedures"", ""scheduled task"", ""custom code"", ""Microsoft Excel"", ""VBA components"", ""data dissection and analysis""]}']","{""key_words"": [""problem-solving skills"", ""communication skills"", ""organizational skills"", ""positive attitude"", ""customer service skills"", ""experience with operating systems"", ""data classification and security practices"", ""Advanced SQL query development"", ""SSMA"", ""stored procedures"", ""scheduled task"", ""custom code"", ""Microsoft Excel"", ""VBA components"", ""data dissection and analysis""]}",15
1009100124612,PPL Corporation,3.7,"Providence, RI",5001 to 10000 Employees,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$5 to $10 billion (USD),3.5,3.9,3.6,3.3,3.5,2024-02-16,92646.0,RI,4692,Data Analyst,"['{""key_words"": [""Data analysis"", ""Data models"", ""Dasboards"", ""Pipline storage"", ""Peaking capacity procurement"", ""Spreadsheet analysis"", ""PowerBI"", ""Excel"", ""Python""]}']","{""key_words"": [""Data analysis"", ""Data models"", ""Dasboards"", ""Pipline storage"", ""Peaking capacity procurement"", ""Spreadsheet analysis"", ""PowerBI"", ""Excel"", ""Python""]}",9
1009060664942,Clever Care Health Plan,2.4,"Huntington Beach, CA",51 to 200 Employees,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,2.7,2.6,2.3,2.3,2.5,2024-02-16,95000.0,CA,6127,Data Analyst,"['{""key_words"": [""data analysis"", ""data integration"", ""BI"", ""database query"", ""data cleaning"", ""data organization"", ""data refresh"", ""data update"", ""user support"", ""documentation"", ""MRA"", ""Quality"", ""Clinical services"", ""trend analysis"", ""ad hoc analysis"", ""IPA"", ""MSO"", ""PCP"", ""spreadsheet"", ""SDLC"", ""MRA/HEDIS/Star"", ""SQL"", ""SSRS""]}']","{""key_words"": [""data analysis"", ""data integration"", ""BI"", ""database query"", ""data cleaning"", ""data organization"", ""data refresh"", ""data update"", ""user support"", ""documentation"", ""MRA"", ""Quality"", ""Clinical services"", ""trend analysis"", ""ad hoc analysis"", ""IPA"", ""MSO"", ""PCP"", ""spreadsheet"", ""SDLC"", ""MRA/HEDIS/Star"", ""SQL"", ""SSRS""]}",23
1009106860164,Wilshire Law Firm,3.9,"Los Angeles, CA",201 to 500 Employees,Private Practice / Firm,Legal,Legal,$100 to $500 million (USD),4.0,4.1,3.8,3.8,3.6,2024-02-16,72750.0,CA,2986,Data Analyst,"['{""key_words"": [""Data Analysis"", ""Data Visualization"", ""Power BI"", ""Salesforce"", ""Data Extraction"", ""Data Manipulation"", ""Data Cleaning"", ""Data Transformation"", ""Data Validation"", ""SQL"", ""Problem Solving"", ""Communication"", ""Data Visualization Best Practices""]}']","{""key_words"": [""Data Analysis"", ""Data Visualization"", ""Power BI"", ""Salesforce"", ""Data Extraction"", ""Data Manipulation"", ""Data Cleaning"", ""Data Transformation"", ""Data Validation"", ""SQL"", ""Problem Solving"", ""Communication"", ""Data Visualization Best Practices""]}",13
1009060659434,Hooplife LLC,,"Pomona, CA",Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,,2024-02-16,59384.0,CA,2022,Data Analyst,"['{""key_words"": [""data analysis"", ""data integrity"", ""Tableau"", ""Power BI"", ""SQL"", ""VBA"", ""Python"", ""project management"", ""database querying""]}']","{""key_words"": [""data analysis"", ""data integrity"", ""Tableau"", ""Power BI"", ""SQL"", ""VBA"", ""Python"", ""project management"", ""database querying""]}",9
1009126544428,Bakersfield Behavioral Healthcare Hospital,3.1,"Bakersfield, CA",Unknown,Company - Private,Hospitals & Health Clinics,Healthcare,Unknown / Non-Applicable,2.9,3.0,2.8,2.3,2.7,2024-02-16,109595.0,CA,4472,Data Analyst,"['{""key_words"": [""auditing"", ""nursing documentation""]}']","{""key_words"": [""auditing"", ""nursing documentation""]}",2
1009129115456,Atrium Health,3.8,"Charlotte, NC",10000+ Employees,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),3.8,3.5,3.7,3.3,3.5,2024-02-16,70882.0,NC,1168,Data Analyst,"['{""key_words"": [""data analysis"", ""data mining"", ""data management"", ""dash boarding"", ""financial data analysis"", ""clinical data analysis"", ""data integrity"", ""program development"", ""data visualization"", ""data illustration""]}']","{""key_words"": [""data analysis"", ""data mining"", ""data management"", ""dash boarding"", ""financial data analysis"", ""clinical data analysis"", ""data integrity"", ""program development"", ""data visualization"", ""data illustration""]}",10
1009115043020,VeriCour,,"Midland, TX",1 to 50 Employees,Company - Private,Unknown,Unknown,Less than $1 million (USD),,,,,,2024-02-16,115000.0,TX,2599,Data Analyst,"['{""key_words"": [""Spotfire"", ""SQL"", ""R"", ""Python"", ""Power BI""]}']","{""key_words"": [""Spotfire"", ""SQL"", ""R"", ""Python"", ""Power BI""]}",5
1009124255065,St. Luke's United Methodist Church,5.0,"Indianapolis, IN",Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,5.0,5.0,5.0,5.0,5.0,2024-02-16,44500.0,IN,3519,Data Analyst,"['{""key_words"": [""database management"", ""data analytics"", ""reporting"", ""dashboard creation"", ""data analysis"", ""relational data"", ""SQL"", ""data management"", ""data structures"", ""query management"", ""technical expertise"", ""system programming""]}']","{""key_words"": [""database management"", ""data analytics"", ""reporting"", ""dashboard creation"", ""data analysis"", ""relational data"", ""SQL"", ""data management"", ""data structures"", ""query management"", ""technical expertise"", ""system programming""]}",12
1009061710207,Our Community Credit Union,2.5,"Shelton, WA",51 to 200 Employees,Company - Public,Banking & Lending,Financial Services,$5 to $25 million (USD),3.0,3.0,4.2,2.4,3.2,2024-02-16,70291.0,WA,6215,Data Analyst,"['{""key_words"": [""data analysis"", ""product performance"", ""member databases"", ""modeling approaches"", ""historical trends"", ""market and product growth"", ""data governance"", ""documentation"", ""data-driven performance management"", ""process improvement"", ""report writing"", ""database use"", ""MS-SQL"", ""data privacy"", ""database platforms"", ""quality assurance"", ""data audit checks"", ""data gathering"", ""loan sales"", ""CUDL"", ""HELOC"", ""business loans"", ""share of wallet"", ""financial and economic levers"", ""technical analysis"", ""problem-solving skills"", ""actionable reporting"", ""customer service"", ""business ethics"", ""time management"", ""prioritization"", ""written communication""]}']","{""key_words"": [""data analysis"", ""product performance"", ""member databases"", ""modeling approaches"", ""historical trends"", ""market and product growth"", ""data governance"", ""documentation"", ""data-driven performance management"", ""process improvement"", ""report writing"", ""database use"", ""MS-SQL"", ""data privacy"", ""database platforms"", ""quality assurance"", ""data audit checks"", ""data gathering"", ""loan sales"", ""CUDL"", ""HELOC"", ""business loans"", ""share of wallet"", ""financial and economic levers"", ""technical analysis"", ""problem-solving skills"", ""actionable reporting"", ""customer service"", ""business ethics"", ""time management"", ""prioritization"", ""written communication""]}",32
1009125398810,Uline,3.5,"Pleasant Prairie, WI",5001 to 10000 Employees,Company - Private,Wholesale,Retail & Wholesale,$5 to $10 billion (USD),3.4,4.2,3.2,3.2,2.8,2024-02-16,75976.0,WI,2022,Data Analyst,"['{""key_words"": [""SQL"", ""VBA"", ""Excel""]}']","{""key_words"": [""SQL"", ""VBA"", ""Excel""]}",3
1009113768751,JKR Windows,5.0,"Saint George, UT",Unknown,Company - Private,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,5.0,4.6,5.0,5.0,3.5,2024-02-16,50000.0,UT,2185,Senior Data Analyst,"['{""key_words"": [""data analysis"", ""programming languages"", ""database management"", ""statistical analysis""]}']","{""key_words"": [""data analysis"", ""programming languages"", ""database management"", ""statistical analysis""]}",4
1009113819837,GreenStone Farm Credit Services,4.6,"East Lansing, MI",501 to 1000 Employees,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable,4.2,4.4,4.7,4.4,4.4,2024-02-16,66321.0,MI,4489,Data Analyst,"['{""key_words"": [""Database"", ""Data Collection & Extraction"", ""Data Exploration & Cleaning"", ""Statistical Analysis & Modeling"", ""Reporting & Visualization"", ""Collaboration & Communication"", ""Finance"", ""Accounting"", ""Business"", ""Statistics"", ""Math"", ""R"", ""Python"", ""PowerBI"", ""SQL"", ""Model Development"", ""Validation"", ""Interpersonal Skills"", ""Business Processes"", ""Metrics"", ""Teamwork""]}']","{""key_words"": [""Database"", ""Data Collection & Extraction"", ""Data Exploration & Cleaning"", ""Statistical Analysis & Modeling"", ""Reporting & Visualization"", ""Collaboration & Communication"", ""Finance"", ""Accounting"", ""Business"", ""Statistics"", ""Math"", ""R"", ""Python"", ""PowerBI"", ""SQL"", ""Model Development"", ""Validation"", ""Interpersonal Skills"", ""Business Processes"", ""Metrics"", ""Teamwork""]}",21
1008947401065,TTX,4.1,"Charlotte, NC",1001 to 5000 Employees,Company - Private,Rail Transportation,Transportation & Logistics,$1 to $5 billion (USD),3.6,4.1,4.1,3.9,4.1,2024-02-16,104209.0,NC,6108,Senior Data Analyst,"['{""key_words"": [""data analysis"", ""data management"", ""data integration"", ""data warehousing"", ""SQL"", ""Power BI"", ""Tableau"", ""Microsoft Power BI""]}']","{""key_words"": [""data analysis"", ""data management"", ""data integration"", ""data warehousing"", ""SQL"", ""Power BI"", ""Tableau"", ""Microsoft Power BI""]}",8
1009129819297,TEKsystems,3.8,"Tampa, FL",1001 to 5000 Employees,Subsidiary or Business Segment,HR Consulting,Human Resources & Staffing,$5 to $10 billion (USD),3.8,3.5,3.8,3.6,3.7,2024-02-16,72158.0,FL,1695,Data Analyst,"['{""key_words"": [""Sql"", ""Data"", ""Data analysis"", ""Population Health"", ""Analytic"", ""Microsoft excel"", ""Excel""]}']","{""key_words"": [""Sql"", ""Data"", ""Data analysis"", ""Population Health"", ""Analytic"", ""Microsoft excel"", ""Excel""]}",7
1009048129569,Northwest Federal Credit Union,2.5,"Herndon, VA",501 to 1000 Employees,Company - Private,Banking & Lending,Financial Services,$25 to $100 million (USD),2.6,2.7,2.4,2.1,2.5,2024-02-16,82236.0,VA,6644,Data Analyst,"['{""key_words"": [""Drupal"", ""Sharepoint"", ""HTML"", ""CSS"", ""JavaScript"", ""SEO"", ""GA4 reporting"", ""Google Ads"", ""Google Analytics"", ""Data Studio"", ""Tag Manager"", ""Tableau"", ""Cognos""]}']","{""key_words"": [""Drupal"", ""Sharepoint"", ""HTML"", ""CSS"", ""JavaScript"", ""SEO"", ""GA4 reporting"", ""Google Ads"", ""Google Analytics"", ""Data Studio"", ""Tag Manager"", ""Tableau"", ""Cognos""]}",13
1009086363801,OSMOSE UTILITIES SERVICES INC,3.1,"Peachtree City, GA",1001 to 5000 Employees,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$25 to $100 million (USD),2.7,2.8,2.7,2.5,2.6,2024-02-16,39520.0,GA,3927,Senior Data Analyst,"['{""key_words"": [""ETL"", ""GIS"", ""Excel"", ""T-SQL"", ""R"", ""Python""]}']","{""key_words"": [""ETL"", ""GIS"", ""Excel"", ""T-SQL"", ""R"", ""Python""]}",6
1009117269984,Sweetser,3.6,"Saco, ME",501 to 1000 Employees,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.4,3.3,3.7,3.5,3.5,2024-02-16,59305.0,ME,3191,Data Analyst,"['{""key_words"": [""data analysis"", ""data integrity"", ""data collection"", ""data resources"", ""performance metrics"", ""adhoc reports"", ""CAFAS"", ""CANS"", ""PHQ-9"", ""GAD-7"", ""DLA-20"", ""iDashboards"", ""Crystal Reports"", ""SQL"", ""Microsoft Windows"", ""Microsoft Office"", ""Electronic Health Record""]}']","{""key_words"": [""data analysis"", ""data integrity"", ""data collection"", ""data resources"", ""performance metrics"", ""adhoc reports"", ""CAFAS"", ""CANS"", ""PHQ-9"", ""GAD-7"", ""DLA-20"", ""iDashboards"", ""Crystal Reports"", ""SQL"", ""Microsoft Windows"", ""Microsoft Office"", ""Electronic Health Record""]}",17
1009110971545,Crew Carwash,4.7,"Fishers, IN",1001 to 5000 Employees,Company - Private,Other Retail Stores,Retail & Wholesale,$25 to $100 million (USD),4.7,4.5,4.8,4.6,4.2,2024-02-16,60282.0,IN,4051,Data Analyst,"['{""key_words"": [""Data analysis"", ""Data management"", ""Data modeling"", ""Advanced Excel"", ""SQL"", ""Tableau / Power BI"", ""Python / R"", ""Statistics"", ""Machine learning""]}']","{""key_words"": [""Data analysis"", ""Data management"", ""Data modeling"", ""Advanced Excel"", ""SQL"", ""Tableau / Power BI"", ""Python / R"", ""Statistics"", ""Machine learning""]}",9
1009101503636,The Research Foundation For SUNY,4.2,"Albany, NY",51 to 200 Employees,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$500 million to $1 billion (USD),3.7,3.8,3.9,3.7,4.0,2024-02-16,82500.0,NY,7009,Senior Data Analyst,"['{""key_words"": [""data analysis"", ""regression analysis"", ""data visualization"", ""data management"", ""data collection"", ""statistics"", ""systems analysis"", ""data reporting"", ""Stata"", ""R"", ""Python"", ""Microsoft Access"", ""Excel""]}']","{""key_words"": [""data analysis"", ""regression analysis"", ""data visualization"", ""data management"", ""data collection"", ""statistics"", ""systems analysis"", ""data reporting"", ""Stata"", ""R"", ""Python"", ""Microsoft Access"", ""Excel""]}",13
1009128663338,"CAREERXCHANGE, INC.",3.7,"Miami, FL",201 to 500 Employees,Company - Private,HR Consulting,Human Resources & Staffing,$5 to $25 million (USD),3.7,3.5,3.8,3.7,4.1,2024-02-16,62500.0,FL,2226,Junior Data Analyst,"['{""key_words"": [""data science"", ""data integrity"", ""data management"", ""Power BI"", ""Excel"", ""SD\'s ERP system"", ""DCRs""]}']","{""key_words"": [""data science"", ""data integrity"", ""data management"", ""Power BI"", ""Excel"", ""SD ERP system"", ""DCRs""]}",7
1009084413070,"Behavioral Health System Baltimore, Inc.",3.7,"Baltimore, MD",Unknown,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.2,2.4,3.2,2.9,2.9,2024-02-16,86965.0,MD,9369,Data Analyst,"['{""key_words"": [""research"", ""statistical analysis"", ""social determinants of health"", ""health equity"", ""data integrity"", ""data cleansing"", ""data normalization"", ""data migration"", ""data modeling"", ""data quality control"", ""data validation"", ""data transformation"", ""data management"", ""data extraction"", ""statistical models"", ""predictive analytics"", ""machine learning"", ""deep learning"", ""natural language processing"", ""computer vision"", ""SAS"", ""SPSS"", ""STATA"", ""MS SQL"", ""MS Excel"", ""MS Power BI"", ""Power Apps"", ""Python"", ""R"", ""Java"", ""SQL"", ""NoSQL""]}']","{""key_words"": [""research"", ""statistical analysis"", ""social determinants of health"", ""health equity"", ""data integrity"", ""data cleansing"", ""data normalization"", ""data migration"", ""data modeling"", ""data quality control"", ""data validation"", ""data transformation"", ""data management"", ""data extraction"", ""statistical models"", ""predictive analytics"", ""machine learning"", ""deep learning"", ""natural language processing"", ""computer vision"", ""SAS"", ""SPSS"", ""STATA"", ""MS SQL"", ""MS Excel"", ""MS Power BI"", ""Power Apps"", ""Python"", ""R"", ""Java"", ""SQL"", ""NoSQL""]}",32
1009124526918,WCF Insurance,3.5,"Sandy, UT",501 to 1000 Employees,Self-employed,Insurance Carriers,Insurance,Unknown / Non-Applicable,3.8,3.6,3.7,3.7,4.6,2024-02-16,74160.0,UT,2257,Data Analyst,"['{""key_words"": [""SQL"", ""Python"", ""R"", ""Matlab"", ""SAS"", ""Mathematica"", ""Tableau"", ""Microsoft SQL Server Analysis and Reporting services"", ""PowerBI""]}']","{""key_words"": [""SQL"", ""Python"", ""R"", ""Matlab"", ""SAS"", ""Mathematica"", ""Tableau"", ""Microsoft SQL Server Analysis and Reporting services"", ""PowerBI""]}",9
1009118821952,Equibase Company,2.9,"Lexington, KY",201 to 500 Employees,Company - Private,Publishing,Media & Communication,$5 to $25 million (USD),2.8,3.2,3.2,3.1,3.4,2024-02-16,59302.0,KY,5961,Junior Data Analyst,"['{""key_words"": [""data analysis"", ""data interpretation"", ""retail sales trends"", ""database queries"", ""database design"", ""SQL"", ""SQL/PS"", ""statistical methods"", ""data visualization"", ""data management"", ""data integration"", ""Excel"", ""Tableau"", ""PowerPoint"", ""Python""]}']","{""key_words"": [""data analysis"", ""data interpretation"", ""retail sales trends"", ""database queries"", ""database design"", ""SQL"", ""SQL/PS"", ""statistical methods"", ""data visualization"", ""data management"", ""data integration"", ""Excel"", ""Tableau"", ""PowerPoint"", ""Python""]}",15
1009124496960,Blue Star Partners LLC,5.0,Remote,1 to 50 Employees,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,4.7,4.4,5.0,5.0,4.6,2024-02-16,47840.0,Remote,1442,Data Analyst,"['{""key_words"": [""SAP"", ""Salesforce"", ""Power BI"", ""Data analysis skills"", ""Data Governance Systems""]}']","{""key_words"": [""SAP"", ""Salesforce"", ""Power BI"", ""Data analysis skills"", ""Data Governance Systems""]}",5
1007998523711,webfx.com,4.2,"Harrisburg, PA",501 to 1000 Employees,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),4.3,4.1,4.3,4.2,4.1,2024-02-16,47000.0,PA,9443,Junior Data Analyst,"['{""key_words"": [""Google Analytics"", ""MarketingCloudFX"", ""Google Ads"", ""Excel"", ""Google Docs"", ""HTML""]}']","{""key_words"": [""Google Analytics"", ""MarketingCloudFX"", ""Google Ads"", ""Excel"", ""Google Docs"", ""HTML""]}",6
1008809398104,Confidential,3.9,"Miami, FL",Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,3.5,3.6,3.6,3.4,3.5,2024-02-16,68658.0,FL,4499,Junior Data Analyst,"['{""key_words"": [""QA"", ""Troubleshooting"", ""Statistics"", ""Data Analysis"", ""Data Research"", ""SQL"", ""Computer Science"", ""Business Analytics"", ""Excel"", ""Bloomberg"", ""SPSS"", ""SPSS-R"", ""R"", ""Python""]}']","{""key_words"": [""QA"", ""Troubleshooting"", ""Statistics"", ""Data Analysis"", ""Data Research"", ""SQL"", ""Computer Science"", ""Business Analytics"", ""Excel"", ""Bloomberg"", ""SPSS"", ""SPSS-R"", ""R"", ""Python""]}",14
1009129675539,WidePoint Corporation,2.6,"Norfolk, VA",201 to 500 Employees,Company - Public,Information Technology Support Services,Information Technology,$25 to $100 million (USD),2.1,2.0,2.6,2.1,2.9,2024-02-16,66169.0,VA,4874,Data Analyst,"['{""key_words"": [""Statistical Techniques"", ""Power BI"", ""MS Power Platform"", ""SharePoint""]}']","{""key_words"": [""Statistical Techniques"", ""Power BI"", ""MS Power Platform"", ""SharePoint""]}",4
1008898353997,PPL Corporation,3.7,"Providence, RI",5001 to 10000 Employees,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$5 to $10 billion (USD),3.5,3.9,3.6,3.3,3.5,2024-02-16,91556.0,RI,3880,Senior Data Analyst,"['{""key_words"": [""data analytics"", ""econometrics"", ""quantitative finance"", ""mathematics"", ""Excel"", ""PowerBI"", ""Python"", ""problem solving"", ""analytical skills"", ""SENDOUT portfolio optimization modeling software"", ""technical report writing"", ""data quality"", ""New England natural gas markets""]}']","{""key_words"": [""data analytics"", ""econometrics"", ""quantitative finance"", ""mathematics"", ""Excel"", ""PowerBI"", ""Python"", ""problem solving"", ""analytical skills"", ""SENDOUT portfolio optimization modeling software"", ""technical report writing"", ""data quality"", ""New England natural gas markets""]}",13
1009128214364,FedEx Services,3.8,"Collierville, TN",10000+ Employees,Company - Public,Taxi & Car Services,Transportation & Logistics,$1 to $5 million (USD),3.7,3.3,3.9,3.3,3.9,2024-02-16,82687.0,TN,4330,Data Analyst,"['{""key_words"": [""data mining"", ""data analysis"", ""business decisions"", ""statistical analysis techniques"", ""structured data"", ""unstructured data"", ""multiple disparate sources"", ""analytics software"", ""applications"", ""MS SQL server"", ""Power BI report development"", ""Azure SQL"", ""measurement"", ""analysis"", ""quantitative business problem solving"", ""operations analysis"", ""marketing analysis"", ""simulation development"", ""predictive analytics""]}']","{""key_words"": [""data mining"", ""data analysis"", ""business decisions"", ""statistical analysis techniques"", ""structured data"", ""unstructured data"", ""multiple disparate sources"", ""analytics software"", ""applications"", ""MS SQL server"", ""Power BI report development"", ""Azure SQL"", ""measurement"", ""analysis"", ""quantitative business problem solving"", ""operations analysis"", ""marketing analysis"", ""simulation development"", ""predictive analytics""]}",19
